model_id,model_name,model_family,developer,sizes,types,benchmark_count,total_results,avg_score,model_type,model_size,provider,type,base_model,year_evaluated,inference_platform,inference_engine,organization,release_date,architecture,context_window,license,url,parameters_billion,release_date_source
DeepSeek-V2.5,DeepSeek-V2.5,deepseek,DeepSeek,,closed,6.0,6.0,253.99,closed,,,,,,,,,2024-09,,,,,,hf_createdat
Mistral Large 2,Mistral Large 2,mistral,Mistral AI,,closed,27.0,27.0,44.72,open,,,,,,,,,2024-07,,,,,,web_verified
HyperCLOVA X,HyperCLOVA X,Hyperclova,,,closed,1.0,1.0,53.40,,,,,,,,,,2023-02,,,,,,single_hermes
Yi-Ko-34B,Yi-Ko-34B,Yi,01.AI,34B,open,1.0,1.0,50.46,,,,,,,,,,2024-01,,,,,,hf_createdat
Gemini Pro,Gemini Pro,gemini,Google,,closed,10.0,10.0,152.94,closed,,,,,,,,,2023-12,,,,,,corroborated_month
GPT-3.5-Turbo,GPT-3.5-Turbo,gpt,OpenAI,,closed,57.0,64.0,84.55,closed,,,,,,,,,2023-03,,,,,,sourced_evidence
Baichuan2-13B,Baichuan2-13B,Baichuan 2,Baichuan,13B,open,1.0,1.0,61.92,,,,,,,,,,2023-08,,,,,,hf_createdat
Baichuan-13B,Baichuan-13B,Baichuan,Baichuan,13B,open,1.0,1.0,55.82,,,,,,,,,,2023-07,,,,,,hf_createdat
ChatGLM2-6B,ChatGLM2-6B,ChatGLM-2,Zhipu AI,6B,open,4.0,4.0,255.26,,,,,,,,,,2023-06,,,,,,sourced_evidence
BLOOMZ-7.1B,BLOOMZ-7.1B,BLOOM,BigScience,7.1B,open,1.0,1.0,43.20,,,,,,,,,,2022,,,,,,corroborated_year
Llama1-70B,Llama1-70B,llama1,Meta,70B,open,1.0,1.0,40.90,open,,,,,,,,,2023-02,,,,,,single_haiku
Llama1-30B,Llama1-30B,llama1,Meta,30B,open,2.0,2.0,57.10,open,,,,,,,,,2023-04,,,,,,hf_createdat
Llama1-13B,Llama1-13B,llama1,Meta,13B,open,1.0,1.0,30.40,open,,,,,,,,,2023-04,,,,,,hf_createdat
Llama1-7B,Llama1-7B,llama1,Meta,7B,open,1.0,1.0,27.70,open,,,,,,,,,2023-04,,,,,,hf_createdat
Aya-101-13B,Aya-101-13B,Aya,Cohere,13B,open,1.0,1.0,37.70,,,,,,,,,,2024-02,,,,,,web_verified
Gemini 2.0 Flash,Gemini 2.0 Flash,gemini,Google,,closed,90.0,95.0,66.20,closed,,,,,,,,,2024-12,,,,,,web_verified
Qwen2.5-72B,Qwen2.5-72B,qwen2.5,Alibaba Cloud,72B,open,10.0,10.0,43.16,open,,,,,,,,,2024-09,,,,,,hf_createdat
Qwen-14B-Chat,Qwen-14B-Chat,qwen,Alibaba Cloud,14B,open,3.0,3.0,394.43,open,,,,,,,,,2023,,,,,,corroborated_year
Baichuan2-13B-Chat,Baichuan2-13B-Chat,Baichuan 2,Baichuan,13B,open,2.0,2.0,37.30,,,,,,,,,,2023-08,,,,,,hf_createdat
Mistral-7B,Mistral-7B,mistral,Mistral AI,7B,open,4.0,4.0,55.98,open,,,,,,,,,2023-09,,,,,,corroborated_month
ChatGLM3-6B,ChatGLM3-6B,ChatGLM-3,Zhipu AI,6B,open,4.0,4.0,276.93,,,,,,,,,,2023-10,,,,,,sourced_evidence
Claude 3.7 Sonnet,Claude 3.7 Sonnet,claude,Anthropic,,closed,90.0,95.0,68.48,closed,,,,,,,,,2025-02,,,,,,web_verified
DeepSeek-v3,DeepSeek-v3,deepseek,DeepSeek,,open,80.0,85.0,68.64,closed,,,,,,,,,2024-12,,,,,,hf_createdat
Gemini 3.1 Pro,Gemini 3.1 Pro,gemini,Google,,closed,2.0,2.0,786.28,closed,,,,,,,,,2023-12,,,,,,single_haiku
Gemini 3 Pro,Gemini 3 Pro,gemini,Google,,closed,12.0,12.0,191.54,closed,,,,,,,,,2023-12,,,,,,single_haiku
Claude Opus 4.6,Claude Opus 4.6,claude,Anthropic,,closed,18.0,18.0,153.21,closed,,,,,,,,,2026-02,,,,,,web_verified
Claude Opus 4.5,Claude Opus 4.5,claude,Anthropic,,closed,17.0,19.0,57.35,closed,,,,,,,,,2025-11,,,,,,web_verified
GPT-5.2,GPT-5.2,gpt,OpenAI,,closed,9.0,9.0,336.94,closed,,,,,,,,,2025-12,,,,,,web_verified
Claude Opus 4.1,Claude Opus 4.1,claude,Anthropic,,closed,25.0,25.0,50.58,closed,,,,,,,,,2025-08,,,,,,web_verified
Qwen3.6 Plus,Qwen3.6 Plus,qwen3.6,Alibaba Cloud,,"closed,open",4.0,5.0,69.77,open,,,,,,,,,2026-04,,,,,,web_verified
Claude Sonnet 4.6,Claude Sonnet 4.6,claude,Anthropic,,closed,25.0,25.0,130.36,closed,,,,,,,,,2026-02,,,,,,web_verified
Claude Sonnet 4.5,Claude Sonnet 4.5,claude,Anthropic,,closed,25.0,28.0,64.39,closed,,,,,,,,,2025-09,,,,,,web_verified
Gemini 3.1 Flash-Lite,Gemini 3.1 Flash-Lite,gemini,Google,,closed,1.0,1.0,61.68,closed,,,,,,,,,2026-03,,,,,,web_verified
Claude Opus 4,Claude Opus 4,claude,Anthropic,,closed,18.0,23.0,123.82,closed,,,,,,,,,2025-05,,,,,,sourced_evidence
Qwen3.5-397B-A17B,Qwen3.5-397B-A17B,qwen3.5,Alibaba Cloud,397B,open,6.0,6.0,80.23,open,,,,,,,,,2026-02,,,,,,hf_createdat
Gemma 4 31B,Gemma 4 31B,Gemma,Google,31B,"closed,open",24.0,24.0,59.72,,,,,,,,,,2026-03,,,,,,hf_createdat
o1,o1,o1,OpenAI,,closed,16.0,16.0,46.97,,,,,,,,,,2024-09,,,,,,web_cited
GPT-4.1,GPT-4.1,gpt,OpenAI,,closed,43.0,43.0,85.45,closed,,,,,,,,,2023-03,,,,,,corroborated_month
Qwen3 235B A22B,Qwen3 235B A22B,qwen3,Alibaba Cloud,235B,open,10.0,13.0,167.85,open,,,,,,,,,2025-04,,,,,,hf_createdat
Claude Sonnet 4,Claude Sonnet 4,claude,Anthropic,,closed,30.0,35.0,97.87,closed,,,,,,,,,2025-05,,,,,,web_verified
Gemma 4 26B-A4B,Gemma 4 26B-A4B,Gemma 2,Google,26B,open,12.0,12.0,54.32,,,,,,,,,,2026-03,,,,,,hf_createdat
Qwen3.5-27B,Qwen3.5-27B,qwen3.5,Alibaba Cloud,27B,open,1.0,1.0,87.50,open,,,,,,,,,2026-02,,,,,,hf_createdat
Mistral Large 3,Mistral Large 3 (675B),mistral,Mistral AI,675B,open,9.0,9.0,70.53,open,,,,,,,,,2025-11,,,,,,hf_createdat
Qwen3.5-35B-A3B,Qwen3.5-35B-A3B,qwen3.5,Alibaba Cloud,35B,open,1.0,1.0,86.60,open,,,,,,,,,2026-02,,,,,,hf_createdat
GPT-4.5,GPT-4.5,gpt,OpenAI,,closed,10.0,10.0,212.13,closed,,,,,,,,,2023-03,,,,,,corroborated_month
Claude Haiku 4.5,Claude Haiku 4.5,claude,Anthropic,,closed,20.0,20.0,74.58,closed,,,,,,,,,2025-10,,,,,,web_verified
GPT-4.1 mini,GPT-4.1 mini,gpt,OpenAI,,closed,21.0,21.0,120.96,closed,,,,,,,,,2023-03,,,,,,corroborated_month
Qwen3.5-4B,Qwen3.5-4B,qwen3.5,Alibaba Cloud,4B,open,1.0,1.0,78.90,open,,,,,,,,,2026-02,,,,,,hf_createdat
GPT-4.1 nano,GPT-4.1 nano,gpt,OpenAI,,closed,17.0,17.0,137.86,closed,,,,,,,,,2023-03,,,,,,corroborated_month
Qwen3.5-2B,Qwen3.5-2B,qwen3.5,Alibaba Cloud,2B,open,1.0,1.0,69.30,open,,,,,,,,,2026-02,,,,,,hf_createdat
Qwen3.5-0.8B,Qwen3.5-0.8B,qwen3.5,Alibaba Cloud,0.8B,open,1.0,1.0,59.40,open,,,,,,,,,2026-02,,,,,,hf_createdat
GPT-4o-mini,GPT-4o-mini,gpt,OpenAI,,closed,128.0,137.0,63.87,closed,,,,,,,,,2024-07,,,,,,web_cited
QwQ-32B,QwQ-32B,Qwq,Alibaba Cloud,32B,open,11.0,11.0,154.39,,,,,,,,,,2025-03,,,,,,hf_createdat
DeepSeek-R1,DeepSeek-R1,deepseek,DeepSeek,,open,88.0,88.0,65.46,closed,,,,,,,,,2025-01,,,,,,hf_createdat
Qwen-2.5-Max,Qwen-2.5-Max,qwen,Alibaba Cloud,,closed,4.0,4.0,367.86,open,,,,,,,,,2023-08,,,,,,single_hermes
LLaMA-3.3-70B,LLaMA-3.3-70B,llama,Meta,70B,open,8.0,8.0,41.81,open,,,,,,,,,2024-11,,,,,,hf_createdat
OLMo-2-32B,OLMo-2-32B,OLMo 2,AllenAI,32B,open,1.0,1.0,44.91,,,,,,,,,,2025-02,,,,,,hf_createdat
Gemma2-9B SEA-LION,Gemma2-9B SEA-LION,SEA-LION,AI Singapore,9B,open,1.0,1.0,63.20,,,,,,,,,,2024-10,,,,,,hf_createdat
Gemma-2-9B,Gemma-2-9B,Gemma 2,Google,9B,open,11.0,11.0,35.69,,,,,,,,,,2024-06,,,,,,hf_createdat
Llama3.1-8B SEA-LION,Llama3.1-8B SEA-LION,llama3.1,AI Singapore,8B,open,1.0,1.0,55.70,open,,,,,,,,,2024-12,,,,,,hf_createdat
Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,qwen2.5,Alibaba Cloud,7B,open,15.0,15.0,35.25,open,,,,,,,,,2024-09,,,,,,hf_createdat
GPT-5,GPT-5,gpt,OpenAI,,closed,79.0,79.0,55.26,closed,,,,,,,,,2025-08,,,,,,web_cited
Gemini 2.5 Pro,Gemini 2.5 Pro,gemini,Google,,closed,32.0,32.0,99.25,closed,,,,,,,,,2025-03,,,,,,web_verified
Grok 4 Fast,Grok 4 Fast,Grok,xAI,,closed,2.0,2.0,42.40,,,,,,,,,,2023-11,,,,,,single_hermes
GPT-3-davinci-003,GPT-3-davinci-003,gpt,OpenAI,,closed,3.0,3.0,29.91,closed,,,,,,,,,2020,,,,,,corroborated_year
OLMo-2-7B,OLMo-2-7B,OLMo 2,AllenAI,7B,open,1.0,1.0,59.73,,,,,,,,,,2024-10,,,,,,hf_createdat
Phi-4-Mini,Phi-4-Mini,Phi-4,Microsoft,,open,2.0,2.0,66.34,,,,,,,,,,2025-02,,,,,,hf_createdat
Gemini 1.5 Pro,Gemini 1.5 Pro,gemini,Google,,closed,27.0,28.0,89.21,closed,,,,,,,,,2024-05,,,,,,web_verified
Gemma-2-27B,Gemma-2-27B,Gemma 2,Google,27B,open,10.0,11.0,36.22,,,,,,,,,,2024-06,,,,,,hf_createdat
Llama 3.1,Llama 3.1 (8B),llama,Meta,8B,open,1.0,1.0,77.25,open,,,,,,,,,2024-07,,,,,,hf_createdat
Gemma 2,Gemma 2 (9B),Gemma 2,Google,9B,open,1.0,1.0,71.94,,,,,,,,,,2024-06,,,,,,hf_createdat
Llama 3,Llama 3 (8B),llama,Meta,8B,open,2.0,2.0,82.30,open,,,,,,,,,2024-04,,,,,,hf_createdat
Gemma 1,Gemma 1 (7B),Gemma,Google,7B,open,1.0,1.0,58.72,,,,,,,,,,2024-02,,,,,,hf_createdat
Mistral 0.3,Mistral 0.3 (7B),mistral,Mistral AI,7B,open,1.0,1.0,47.16,open,,,,,,,,,2024-05,,,,,,web_verified
Llama 2,Llama 2 (7B),llama,Meta,7B,open,1.0,1.0,24.64,open,,,,,,,,,2023-07,,,,,,corroborated_month
OLMo 1.7,OLMo 1.7 (7B),OLMo,AllenAI,7B,open,1.0,1.0,19.65,,,,,,,,,,2024-04,,,,,,hf_createdat
Qwen3-8B,Qwen3-8B,qwen3,Alibaba Cloud,8B,open,3.0,3.0,66.18,open,,,,,,,,,2025-04,,,,,,hf_createdat
PolyLM,PolyLM,Polylm,,,open,1.0,1.0,11.30,,,,,,,,,,2023-07,,,,,,sourced_evidence
Grok 4.20 beta1,Grok 4.20 beta1,Grok,xAI,,closed,1.0,1.0,1490.38,,,,,,,,,,2023-11,,,,,,single_hermes
GPT-5.4,GPT-5.4-high,gpt,OpenAI,,closed,15.0,15.0,235.54,closed,,,,,,,,,2026-03,,,,,,web_verified
Mistral Small 3.1 24B Instruct,Mistral Small 3.1 24B Instruct,mistral,Mistral AI,24B,open,2.0,2.0,69.90,open,,,,,,,,,2025-03,,,,,,hf_createdat
Med-PaLM 2,Med-PaLM 2,Med,,,closed,1.0,3.0,78.33,,,,,,,,,,2023-05,,,,,,single_hermes
Flan-PaLM,Flan-PaLM (540B),Flan,,540B,open,1.0,1.0,79.00,,,,,,,,,,2022-10,,,,,,arxiv_id
PMC-LLaMA-13B,PMC-LLaMA-13B,pmc,Meta,13B,open,1.0,1.0,77.90,open,,,,,,,,,2023-09,,,,,,sourced_evidence
Kimi K2 0905,Kimi K2 0905,Moonshot,Moonshot AI,,open,3.0,3.0,67.35,,,,,,,,,,2025-09,,,,,,hf_createdat
o1-mini,o1-mini,o1,OpenAI,,closed,25.0,25.0,105.09,,,,,,,,,,2024-09,,,,,,web_cited
Llama 3.1 405B Instruct,Llama 3.1 405B Instruct,llama,Meta,405B,open,10.0,10.0,184.21,open,,,,,,,,,2024-07,,,,,,hf_createdat
Llama-3.1-70B-Instruct,Llama-3.1-70B-Instruct,llama,Meta,70B,open,23.0,23.0,107.64,open,,,,,,,,,2024-07,,,,,,hf_createdat
Mistral-7B-Instruct,Mistral-7B-Instruct,mistral,Mistral AI,7B,open,9.0,9.0,46.10,open,,,,,,,,,2023-09,,,,,,corroborated_month
Llama-2-70B-Chat,Llama-2-70B-Chat,llama,Meta,70B,open,16.0,16.0,106.82,open,,,,,,,,,2023-07,,,,,,corroborated_month
Gemini Ultra,Gemini Ultra,gemini,Google,,closed,2.0,2.0,63.80,closed,,,,,,,,,2023-12,,,,,,sourced_evidence
Codex,Codex,Codex,,,closed,4.0,4.0,56.42,,,,,,,,,,2021-07,,,,,,sourced_evidence
CodeGen-16B-multi,CodeGen-16B-multi,Codegen,,16B,open,3.0,5.0,36.41,,,,,,,,,,2022-03,,,,,,sourced_evidence
InCoder-6B,InCoder-6B,Incoder,,6B,open,2.0,2.0,18.93,,,,,,,,,,2022-04,,,,,,sourced_evidence
CodeLlama-34B-Instruct,CodeLlama-34B-Instruct,codellama,Meta,34B,open,4.0,4.0,296.35,open,,,,,,,,,2024-03,,,,,,hf_createdat
DeepSeek-Coder-33B-Instruct,DeepSeek-Coder-33B-Instruct,deepseek,DeepSeek,33B,open,2.0,2.0,51.70,closed,,,,,,,,,2023-11,,,,,,hf_createdat
MMed-Llama-3-8B,MMed-Llama-3-8B,mmed,Meta,8B,open,1.0,1.0,74.00,open,,,,,,,,,2024-05,,,,,,hf_createdat
Cohere-Aya-8B,Cohere-Aya-8B,Aya,Cohere,8B,open,1.0,1.0,28.70,,,,,,,,,,2024-09,,,,,,single_hermes
Mistral-Large,Mistral-Large,mistral,Mistral AI,,closed,2.0,2.0,17.57,open,,,,,,,,,2024-07,,,,,,hf_createdat
BLOOMZ-7B,BLOOMZ-7B,BLOOM,BigScience,7B,open,2.0,2.0,28.50,,,,,,,,,,2022,,,,,,corroborated_year
CodeLlama-34B,CodeLlama-34B,codellama,Meta,34B,open,3.0,3.0,31.31,open,,,,,,,,,2024-03,,,,,,hf_createdat
Med-PaLM,Med-PaLM,Med,,,closed,1.0,1.0,79.00,,,,,,,,,,2023-05,,,,,,single_hermes
mT5-XXL,mT5-XXL,Mt5,,,open,9.0,9.0,21.64,,,,,,,,,,2020-10,,,,,,sourced_evidence
Gemma-2-9B-IT,Gemma-2-9B-IT,Gemma 2,Google,9B,open,13.0,13.0,126.25,,,,,,,,,,2024-06,,,,,,hf_createdat
Qwen2.5-1.5B-Math,Qwen2.5-1.5B-Math (ORM),qwen2.5,Alibaba Cloud,1.5B,open,1.0,1.0,35.80,open,,,,,,,,,2024-09,,,,,,hf_createdat
Llama3-PBM-Nova-70B,Llama3-PBM-Nova-70B,llama3,Meta,70B,open,1.0,1.0,62.39,open,,,,,,,,,2024-08,,,,,,hf_createdat
Jais-30B-chat,Jais-30B-chat,Jais,Core42,30B,open,1.0,1.0,58.90,,,,,,,,,,2023,,,,,,corroborated_year
MMedLM-2-7B,MMedLM-2-7B,Mmedlm,,7B,open,1.0,1.0,61.70,,,,,,,,,,2024-02,,,,,,web_verified
DeepSeek-Coder-33B,DeepSeek-Coder-33B,deepseek,DeepSeek,33B,open,1.0,1.0,42.00,closed,,,,,,,,,2023-10,,,,,,hf_createdat
WizardCoder-34B,WizardCoder-34B,WizardCoder,Microsoft,34B,open,2.0,2.0,49.55,,,,,,,,,,2023-06,,,,,,sourced_evidence
mCoder-13B,mCoder-13B,Mcoder,,13B,open,1.0,1.0,44.80,,,,,,,,,,2023-05,,,,,,sourced_evidence
Qwen-7B-Chat,Qwen-7B-Chat,qwen,Alibaba Cloud,7B,open,2.0,2.0,63.97,open,,,,,,,,,2023-08,,,,,,hf_createdat
Qwen3,Qwen3,qwen3,Alibaba Cloud,,open,1.0,1.0,45.48,open,,,,,,,,,2025-04,,,,,,hf_createdat
Gemini 2.5 Flash,Gemini 2.5 Flash,gemini,Google,,closed,31.0,31.0,101.54,closed,,,,,,,,,2025-06,,,,,,web_verified
Vicuna-13B,Vicuna-13B,Vicuna,LMSYS,13B,open,6.0,6.0,202.59,,,,,,,,,,2023-04,,,,,,hf_createdat
Vicuna-7B,Vicuna-7B,Vicuna,LMSYS,7B,open,6.0,6.0,207.39,,,,,,,,,,2023-04,,,,,,hf_createdat
o3-2025-04-16,o3-2025-04-16,o3,OpenAI,,closed,7.0,7.0,286.39,,,,,,,,,,2025-04,,,,,,existing
o4-mini-2025-04-16,o4-mini-2025-04-16-high,o4,OpenAI,,closed,43.0,43.0,85.19,,,,,,,,,,2025-04,,,,,,existing
Qwen3-32B,Qwen3-32B,qwen3,Alibaba Cloud,32B,open,7.0,8.0,214.17,open,,,,,,,,,2025-04,,,,,,hf_createdat
Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,qwen2.5,Alibaba Cloud,72B,open,25.0,25.0,97.27,open,,,,,,,,,2024-09,,,,,,hf_createdat
Qwen 2.5,Qwen 2.5 (72B),qwen,Alibaba Cloud,72B,open,1.0,3.0,41.77,open,,,,,,,,,2024-09,,,,,,web_verified
Qwen3 30B A3B,Qwen3 30B A3B,qwen3,Alibaba Cloud,30B,open,5.0,6.0,272.28,open,,,,,,,,,2025-04,,,,,,hf_createdat
Nova Pro,Nova Pro,Nova,,,closed,4.0,4.0,52.09,,,,,,,,,,2024-12,,,,,,web_verified
Nova Lite,Nova Lite,Nova,,,closed,3.0,3.0,40.85,,,,,,,,,,2024-12,,,,,,web_verified
Nova Micro,Nova Micro,Nova,,,closed,3.0,3.0,34.09,,,,,,,,,,2024-12,,,,,,sourced_evidence
Qwen3 VL 235B A22B Instruct,Qwen3 VL 235B A22B Instruct,qwen3,Alibaba Cloud,235B,open,6.0,6.0,59.69,open,,,,,,,,,2025-09,,,,,,hf_createdat
Qwen3-Next-80B-A3B-Instruct,Qwen3-Next-80B-A3B-Instruct,qwen3,Alibaba Cloud,80B,open,12.0,12.0,72.23,open,,,,,,,,,2025-09,,,,,,hf_createdat
Qwen3 VL 8B,Qwen3 VL 8B Thinking,qwen3,Alibaba Cloud,8B,open,2.0,2.0,63.10,open,,,,,,,,,2025-10,,,,,,hf_createdat
o3-mini-2025-01-31,o3-mini-2025-01-31-high,o3,OpenAI,,closed,43.0,43.0,54.32,,,,,,,,,,2025-01,,,,,,existing
o1-2024-12-17,o1-2024-12-17-high,o1,OpenAI,,closed,9.0,9.0,228.40,,,,,,,,,,2024-12,,,,,,existing
Llama3-Inst-8B-SimPO,Llama3-Inst-8B-SimPO,llama3,Meta,8B,open,1.0,1.0,14.00,open,,,,,,,,,2024-05,,,,,,hf_createdat
GLM-Z1-32B,GLM-Z1-32B,GLM,Zhipu AI,32B,open,1.0,1.0,56.70,,,,,,,,,,2025-04,,,,,,hf_createdat
Qwen2-7B-Instruct,Qwen2-7B-Instruct,qwen2,Alibaba Cloud,7B,open,11.0,11.0,31.00,open,,,,,,,,,2024-06,,,,,,hf_createdat
Mixtral 8x22B Instruct,Mixtral 8x22B Instruct,mixtral,Mistral AI,8X22B,open,3.0,5.0,32.62,open,,,,,,,,,2024-04,,,,,,hf_createdat
Claude-Sonnet,Claude-Sonnet,claude,Anthropic,,,1.0,1.0,0.00,closed,,,,,,,,,2024-03,,,,,,sourced_evidence
mistral-large-2407,mistral-large-2407,mistral,Mistral AI,,,2.0,2.0,668.71,open,,,,,,,,,2024-07,,,,,,hf_createdat
glm-4-0520,glm-4-0520,GLM-4,Zhipu AI,,,2.0,2.0,642.92,,,,,,,,,,2024-05,,,,,,web_verified
deepseek-coder-v2,deepseek-coder-v2,deepseek,DeepSeek,,,1.0,1.0,62.30,closed,,,,,,,,,2024-06,,,,,,hf_createdat
glm-4-0116,glm-4-0116,GLM-4,Zhipu AI,,,1.0,1.0,55.72,,,,,,,,,,2024-01,,,,,,web_verified
glm-4-air,glm-4-air,GLM-4,Zhipu AI,,,1.0,1.0,50.88,,,,,,,,,,2024-03,,,,,,single_hermes
mistral-medium,mistral-medium,mistral,Mistral AI,,,1.0,1.0,31.90,open,,,,,,,,,2023-10,,,,,,sourced_evidence
mistral-next,mistral-next,mistral,Mistral AI,,,1.0,1.0,27.37,open,,,,,,,,,2023-10,,,,,,sourced_evidence
claude-2.1,claude-2.1,claude,Anthropic,,,12.0,12.0,53.33,closed,,,,,,,,,2023-03,,,,,,sourced_evidence
llama-3.1-8b-instruct,llama-3.1-8b-instruct,llama,Meta,8B,,19.0,20.0,88.95,open,,,,,,,,,2024-07,,,,,,hf_createdat
snorkel-mistral-pairrm-dpo,snorkel-mistral-pairrm-dpo,snorkel,Mistral AI,,,1.0,1.0,20.73,open,,,,,,,,,2023-05,,,,,,sourced_evidence
llama-3-8b-instruct,llama-3-8b-instruct,llama,Meta,8B,,19.0,19.0,97.04,open,,,,,,,,,2024-04,,,,,,hf_createdat
Qwen3 VL 4B,Qwen3 VL 4B Thinking,qwen3,Alibaba Cloud,4B,open,2.0,2.0,55.20,open,,,,,,,,,2025-10,,,,,,hf_createdat
Qwen3 VL 32B Instruct,Qwen3 VL 32B Instruct,qwen3,Alibaba Cloud,32B,open,6.0,6.0,57.79,open,,,,,,,,,2025-10,,,,,,hf_createdat
Qwen3 VL 30B A3B Instruct,Qwen3 VL 30B A3B Instruct,qwen3,Alibaba Cloud,30B,open,5.0,5.0,54.03,open,,,,,,,,,2025-09,,,,,,hf_createdat
GLM-4.6,GLM-4.6 (FC thinking),GLM-4,Zhipu AI,,,2.0,2.0,63.78,,,,,,,,,,2025-09,,,,,,web_verified
Moonshotai-Kimi-K2-Instruct,Moonshotai-Kimi-K2-Instruct (FC),Moonshot,Moonshot AI,,,1.0,1.0,59.06,,,,,,,,,,2025-07,,,,,,hf_createdat
DeepSeek-V3.2-Exp,DeepSeek-V3.2-Exp (Prompt + Thinking),deepseek,DeepSeek,,,3.0,3.0,70.11,closed,,,,,,,,,2025-09,,,,,,hf_createdat
GPT-5.2-2025-12-11,GPT-5.2-2025-12-11 (FC),gpt,OpenAI,,,1.0,1.0,55.87,closed,,,,,,,,,2025-12,,,,,,existing
Qwen3-14B,Qwen3-14B (FC),qwen3,Alibaba Cloud,14B,,2.0,2.0,66.56,open,,,,,,,,,2025-04,,,,,,hf_createdat
Mistral-Medium-2505,Mistral-Medium-2505,mistral,Mistral AI,,,1.0,1.0,37.69,open,,,,,,,,,2023-10,,,,,,sourced_evidence
Mistral-small-2506,Mistral-small-2506 (FC),mistral,Mistral AI,,,2.0,2.0,686.08,open,,,,,,,,,2023-10,,,,,,sourced_evidence
Gemini 2.5 Flash-Lite,Gemini-2.5-Flash-Lite (FC),gemini,Google,,,13.0,13.0,78.32,closed,,,,,,,,,2025-05,,,,,,sourced_evidence
Gemma-3-12b-it,Gemma-3-12b-it (Prompt),Gemma 2,Google,12B,,3.0,3.0,456.03,,,,,,,,,,2025-03,,,,,,hf_createdat
Gemma-3-27b-it,Gemma-3-27b-it (Prompt),Gemma 2,Google,27B,,3.0,3.0,475.68,,,,,,,,,,2025-03,,,,,,hf_createdat
Qwen3-1.7B,Qwen3-1.7B (FC),qwen3,Alibaba Cloud,1.7B,,2.0,2.0,34.20,open,,,,,,,,,2025-04,,,,,,hf_createdat
